Date,Close
9/13/2017,9.54747521
9/14/2017,9.52614
9/15/2017,9.49281316
9/16/2017,9.49281316
9/17/2017,9.514645
9/18/2017,9.517705
9/19/2017,9.5399145
9/20/2017,9.530505
9/21/2017,9.518445
9/22/2017,9.53952807
9/23/2017,9.53952807
9/24/2017,9.53404
9/25/2017,9.53001825
9/26/2017,9.5788
9/27/2017,9.57125295
9/28/2017,9.562545
9/29/2017,9.62381825
9/30/2017,9.62381825
10/1/2017,9.62386845
10/2/2017,9.58627018
10/3/2017,9.55195
10/4/2017,9.52203398
10/5/2017,9.52952
10/6/2017,9.52470396
10/7/2017,9.52470396
10/8/2017,9.52513
10/9/2017,9.54031223
10/10/2017,9.5345184
10/11/2017,9.54282905
10/12/2017,9.61097
10/13/2017,9.58047216
10/14/2017,9.58047216
10/15/2017,9.591305
10/16/2017,9.55767375
10/17/2017,9.597675
10/18/2017,9.597385
10/19/2017,9.62949685
10/20/2017,9.61911304
10/21/2017,9.61911304
10/22/2017,9.61413
10/23/2017,9.63809
10/24/2017,9.671745
10/25/2017,9.70840755
10/26/2017,9.735885
10/27/2017,9.71949084
10/28/2017,9.71949084
10/29/2017,9.70971
10/30/2017,9.729545
10/31/2017,9.75834
11/1/2017,9.76631269
11/2/2017,9.7864
11/3/2017,9.80000317
11/4/2017,9.80000317
11/5/2017,9.80000317
11/6/2017,9.75008793
11/7/2017,9.72925061
11/8/2017,9.7179
11/9/2017,9.753885
11/10/2017,9.74201813
11/11/2017,9.74201813
11/12/2017,9.746525
11/13/2017,9.78396
11/14/2017,9.90875
11/15/2017,9.93643705
11/16/2017,9.89089344
11/17/2017,9.94330097
11/18/2017,9.94330097
11/19/2017,9.92117
11/20/2017,9.9561
11/21/2017,9.8971
11/22/2017,9.8557
11/23/2017,9.8313
11/24/2017,9.74997758
11/25/2017,9.74997758
11/26/2017,9.881245
11/27/2017,9.8693
11/28/2017,9.88828484
11/29/2017,9.9207875
11/30/2017,9.97594105
12/1/2017,9.93952361
12/2/2017,9.93952361
12/3/2017,9.94643
12/4/2017,9.99317
12/5/2017,9.89574071
12/6/2017,9.94104
12/7/2017,9.9923
12/8/2017,9.94218397
12/9/2017,9.94218397
12/10/2017,9.959695
12/11/2017,10.0113
12/12/2017,9.887315
12/13/2017,9.95507644
12/14/2017,9.9384
12/15/2017,9.99148317
12/16/2017,9.99148317
12/17/2017,9.98515
12/18/2017,9.9403
12/19/2017,9.9514
12/20/2017,9.96629
12/21/2017,9.94201419
12/22/2017,9.86895212
12/23/2017,9.86895212
12/24/2017,9.8720899
12/25/2017,9.88574
12/26/2017,9.9034
12/27/2017,9.84028612
12/28/2017,9.849065
12/29/2017,9.82144403
12/30/2017,9.82144403
12/31/2017,9.8422
1/1/2018,9.826855
1/2/2018,9.843455
1/3/2018,9.83015
1/4/2018,9.81630855
1/5/2018,9.69433085
1/6/2018,9.69433085
1/7/2018,9.80663
1/8/2018,9.82203534
1/9/2018,9.82775005
1/10/2018,9.798985
1/11/2018,9.78798
