"Date","Price","Open","High","Low","Change %"
"Aug 09, 2019","9.5459","9.5997","9.6081","9.5232","-0.56%"
"Aug 08, 2019","9.5997","9.6372","9.6401","9.5708","-0.40%"
"Aug 07, 2019","9.6387","9.5826","9.6457","9.5620","0.55%"
"Aug 06, 2019","9.5861","9.6103","9.6131","9.5696","-0.18%"
"Aug 05, 2019","9.6032","9.6418","9.6530","9.5915","-0.34%"
"Aug 02, 2019","9.6363","9.6544","9.6740","9.6303","-0.21%"
"Aug 01, 2019","9.6567","9.6653","9.7018","9.6358","0.03%"
"Jul 31, 2019","9.6534","9.5662","9.6788","9.5530","0.87%"
"Jul 30, 2019","9.5699","9.4812","9.5747","9.4812","0.86%"
"Jul 29, 2019","9.4887","9.5041","9.5197","9.4805","-0.15%"
"Jul 26, 2019","9.5029","9.4513","9.5131","9.4438","0.55%"
"Jul 25, 2019","9.4511","9.4322","9.4669","9.4231","0.25%"
"Jul 24, 2019","9.4279","9.4697","9.4885","9.4160","-0.43%"
"Jul 23, 2019","9.4687","9.4156","9.4778","9.4102","0.58%"
"Jul 22, 2019","9.4139","9.3841","9.4160","9.3779","0.33%"
"Jul 19, 2019","9.3829","9.3107","9.4023","9.3058","0.83%"
"Jul 18, 2019","9.3061","9.3676","9.3767","9.3001","-0.65%"
"Jul 17, 2019","9.3668","9.3896","9.4063","9.3517","-0.25%"
"Jul 16, 2019","9.3899","9.3548","9.4041","9.3450","0.38%"
"Jul 15, 2019","9.3548","9.3667","9.3787","9.3491","-0.25%"
"Jul 12, 2019","9.3784","9.3811","9.3925","9.3588","-0.04%"
"Jul 11, 2019","9.3820","9.4238","9.4238","9.3700","-0.42%"
"Jul 10, 2019","9.4213","9.4727","9.4814","9.4074","-0.54%"
"Jul 09, 2019","9.4727","9.4617","9.5001","9.4535","0.12%"
"Jul 08, 2019","9.4611","9.4452","9.4671","9.4209","0.19%"
"Jul 05, 2019","9.4427","9.3243","9.4643","9.3160","1.26%"
"Jul 04, 2019","9.3250","9.3166","9.3397","9.2994","0.13%"
"Jul 03, 2019","9.3128","9.3321","9.3651","9.2855","-0.19%"
"Jul 02, 2019","9.3306","9.3634","9.3670","9.3166","-0.33%"
"Jul 01, 2019","9.3613","9.2839","9.3682","9.2768","0.84%"
"Jun 28, 2019","9.2830","9.2777","9.3055","9.2536","0.06%"
"Jun 27, 2019","9.2772","9.2622","9.2926","9.2514","0.16%"
"Jun 26, 2019","9.2622","9.2783","9.3002","9.2457","-0.17%"
"Jun 25, 2019","9.2783","9.2802","9.2969","9.2408","-0.01%"
"Jun 24, 2019","9.2793","9.3563","9.3563","9.2717","-0.78%"
"Jun 21, 2019","9.3524","9.4168","9.4282","9.3414","-0.68%"
"Jun 20, 2019","9.4162","9.4892","9.4947","9.3914","-0.77%"
"Jun 19, 2019","9.4892","9.5312","9.5540","9.4740","-0.48%"
"Jun 18, 2019","9.5350","9.4811","9.5396","9.4575","0.56%"
"Jun 17, 2019","9.4817","9.4872","9.5066","9.4622","-0.06%"
"Jun 14, 2019","9.4870","9.4836","9.5007","9.4220","0.04%"
"Jun 13, 2019","9.4829","9.4757","9.4962","9.4620","0.08%"
"Jun 12, 2019","9.4750","9.4506","9.4782","9.4181","0.25%"
"Jun 11, 2019","9.4511","9.4166","9.4554","9.4040","0.35%"
"Jun 10, 2019","9.4184","9.4107","9.4397","9.3953","0.21%"
"Jun 07, 2019","9.3982","9.4204","9.4683","9.3715","-0.22%"
"Jun 06, 2019","9.4186","9.4459","9.4570","9.3951","-0.29%"
"Jun 05, 2019","9.4459","9.4395","9.4509","9.3973","0.10%"
"Jun 04, 2019","9.4367","9.4444","9.4691","9.4188","-0.08%"
"Jun 03, 2019","9.4444","9.4936","9.5101","9.4345","-0.55%"
"May 31, 2019","9.4965","9.5382","9.5677","9.4817","-0.42%"
"May 30, 2019","9.5364","9.5518","9.5647","9.5247","-0.15%"
"May 29, 2019","9.5509","9.5969","9.6159","9.5467","-0.48%"
"May 28, 2019","9.5973","9.5807","9.5986","9.5384","0.17%"
"May 27, 2019","9.5807","9.5472","9.5911","9.5299","0.42%"
"May 24, 2019","9.5407","9.6162","9.6247","9.5314","-0.79%"
"May 23, 2019","9.6163","9.6312","9.6784","9.6080","-0.15%"
"May 22, 2019","9.6312","9.6532","9.6703","9.6258","-0.20%"
"May 21, 2019","9.6506","9.6653","9.6927","9.6420","-0.14%"
"May 20, 2019","9.6642","9.6528","9.6722","9.6285","0.22%"
"May 17, 2019","9.6430","9.6391","9.6551","9.6165","0.05%"
"May 16, 2019","9.6385","9.6027","9.6485","9.5767","0.39%"
"May 15, 2019","9.6006","9.6037","9.6398","9.5752","-0.03%"
"May 14, 2019","9.6037","9.6407","9.6463","9.5843","-0.37%"
"May 13, 2019","9.6391","9.6248","9.6674","9.6035","0.27%"
"May 10, 2019","9.6128","9.6534","9.6609","9.6026","-0.40%"
"May 09, 2019","9.6513","9.6196","9.6647","9.6043","0.33%"
"May 08, 2019","9.6196","9.5944","9.6210","9.5574","0.27%"
"May 07, 2019","9.5937","9.5627","9.6132","9.5415","0.32%"
"May 06, 2019","9.5627","9.5798","9.6062","9.5521","0.23%"
"May 03, 2019","9.5405","9.5784","9.6145","9.5334","-0.40%"
"May 02, 2019","9.5784","9.5428","9.5798","9.5115","0.38%"
"May 01, 2019","9.5422","9.4904","9.5443","9.4677","0.51%"
"Apr 30, 2019","9.4940","9.5139","9.5289","9.4731","-0.18%"
"Apr 29, 2019","9.5114","9.4957","9.5294","9.4943","-0.02%"
"Apr 26, 2019","9.5137","9.5399","9.5467","9.4680","-0.27%"
"Apr 25, 2019","9.5399","9.4323","9.5795","9.4092","1.11%"
"Apr 24, 2019","9.4350","9.3528","9.4445","9.3460","0.90%"
"Apr 23, 2019","9.3513","9.2980","9.3940","9.2977","0.48%"
"Apr 22, 2019","9.3065","9.3096","9.3205","9.2934","0.05%"
"Apr 19, 2019","9.3022","9.3100","9.3147","9.2913","-0.09%"
"Apr 18, 2019","9.3105","9.2486","9.3365","9.2371","0.67%"
"Apr 17, 2019","9.2481","9.2602","9.2675","9.2154","-0.11%"
"Apr 16, 2019","9.2585","9.2683","9.2812","9.2414","-0.11%"
"Apr 15, 2019","9.2683","9.2738","9.2768","9.2417","-0.02%"
"Apr 12, 2019","9.2706","9.2895","9.2923","9.2442","-0.20%"
"Apr 11, 2019","9.2895","9.2629","9.2962","9.2295","0.29%"
"Apr 10, 2019","9.2629","9.2592","9.2938","9.2320","0.04%"
"Apr 09, 2019","9.2591","9.2623","9.2698","9.2264","-0.02%"
"Apr 08, 2019","9.2613","9.2936","9.3061","9.2336","-0.45%"
"Apr 05, 2019","9.3030","9.2849","9.3059","9.2590","0.19%"
"Apr 04, 2019","9.2849","9.2679","9.2881","9.2553","0.18%"
"Apr 03, 2019","9.2683","9.3285","9.3315","9.2533","-0.64%"
"Apr 02, 2019","9.3284","9.2825","9.3442","9.2825","0.49%"
"Apr 01, 2019","9.2825","9.2927","9.2963","9.2318","-0.15%"
"Mar 29, 2019","9.2960","9.2938","9.3030","9.2433","0.05%"
"Mar 28, 2019","9.2915","9.2789","9.3504","9.2640","0.13%"
"Mar 27, 2019","9.2795","9.2437","9.2858","9.2255","0.38%"
"Mar 26, 2019","9.2447","9.2401","9.2515","9.2131","0.05%"
"Mar 25, 2019","9.2397","9.2801","9.2860","9.2115","-0.40%"
"Mar 22, 2019","9.2772","9.1798","9.3156","9.1571","1.12%"
"Mar 21, 2019","9.1744","9.1388","9.1994","9.1120","0.38%"
"Mar 20, 2019","9.1394","9.2038","9.2192","9.1009","-0.72%"
"Mar 19, 2019","9.2058","9.2297","9.2399","9.1853","-0.25%"
"Mar 18, 2019","9.2292","9.2386","9.2568","9.2070","-0.02%"
"Mar 15, 2019","9.2315","9.3044","9.3090","9.2266","-0.77%"
"Mar 14, 2019","9.3034","9.2886","9.3409","9.2758","0.14%"
"Mar 13, 2019","9.2908","9.3640","9.3805","9.2782","-0.78%"
"Mar 12, 2019","9.3640","9.3868","9.4125","9.3464","-0.21%"
"Mar 11, 2019","9.3833","9.4234","9.4336","9.3777","-0.47%"
"Mar 08, 2019","9.4280","9.4570","9.5003","9.4195","-0.31%"
"Mar 07, 2019","9.4570","9.3000","9.4777","9.2843","1.69%"
"Mar 06, 2019","9.3001","9.3066","9.3394","9.2775","-0.10%"
"Mar 05, 2019","9.3095","9.3369","9.3816","9.3034","-0.32%"
"Mar 04, 2019","9.3390","9.2492","9.3504","9.2462","0.74%"
"Mar 01, 2019","9.2708","9.2351","9.2813","9.2137","0.37%"
"Feb 28, 2019","9.2363","9.2723","9.2772","9.1668","-0.39%"
"Feb 27, 2019","9.2723","9.2830","9.2984","9.2377","-0.11%"
"Feb 26, 2019","9.2828","9.3070","9.3306","9.2737","-0.27%"
"Feb 25, 2019","9.3081","9.3443","9.3477","9.2990","-0.39%"
"Feb 22, 2019","9.3450","9.3646","9.3719","9.3259","-0.31%"
"Feb 21, 2019","9.3737","9.3218","9.3765","9.3012","0.56%"
"Feb 20, 2019","9.3218","9.3089","9.3356","9.2919","0.11%"
"Feb 19, 2019","9.3120","9.2578","9.4199","9.2489","0.62%"
"Feb 18, 2019","9.2546","9.2853","9.2880","9.2338","-0.19%"
"Feb 15, 2019","9.2722","9.2914","9.3359","9.2632","-0.21%"
"Feb 14, 2019","9.2914","9.2670","9.3257","9.2395","0.24%"
"Feb 13, 2019","9.2694","9.2582","9.2845","9.1835","0.09%"
"Feb 12, 2019","9.2607","9.3078","9.3105","9.2487","-0.51%"
"Feb 11, 2019","9.3078","9.2716","9.3133","9.2552","0.36%"
"Feb 08, 2019","9.2748","9.2631","9.2861","9.2413","0.13%"
"Feb 07, 2019","9.2627","9.2049","9.2644","9.1970","0.63%"
